beta,load_comb,d,f_cck,chi1,chi2,rho,dg,L,c,weight
3.86488583799603,traffic,100,30,0.1,0,0.01,16,5000,250,0
4.04543161190981,traffic,100,30,0.2,0,0.01,16,5000,250,0.2564
4.22793806852944,traffic,100,30,0.3,0,0.01,16,5000,250,0.9295
4.40448031013619,traffic,100,30,0.4,0,0.01,16,5000,250,1
4.6981727153576,traffic,100,30,0.5,0,0.01,16,5000,250,0.7692
4.73729035267159,traffic,100,30,0.6,0,0.01,16,5000,250,0.2564
4.74291354612208,traffic,100,30,0.7,0,0.01,16,5000,250,0.0769
4.71193524221422,traffic,100,30,0.8,0,0.01,16,5000,250,0
4.6613622355693,traffic,100,30,0.9,0,0.01,16,5000,250,0
3.73089922417724,traffic,100,60,0.1,0,0.01,16,5000,250,0
3.91196496917193,traffic,100,60,0.2,0,0.01,16,5000,250,0.2564
4.09531221993751,traffic,100,60,0.3,0,0.01,16,5000,250,0.9295
4.27311418986124,traffic,100,60,0.4,0,0.01,16,5000,250,1
4.56996374577371,traffic,100,60,0.5,0,0.01,16,5000,250,0.7692
4.61480461186878,traffic,100,60,0.6,0,0.01,16,5000,250,0.2564
4.6253283903061,traffic,100,60,0.7,0,0.01,16,5000,250,0.0769
4.59897505811873,traffic,100,60,0.8,0,0.01,16,5000,250,0
4.55247430389962,traffic,100,60,0.9,0,0.01,16,5000,250,0
3.7829215510895,traffic,100,80,0.1,0,0.01,16,5000,250,0
3.96462806481612,traffic,100,80,0.2,0,0.01,16,5000,250,0.2564
4.14846694071928,traffic,100,80,0.3,0,0.01,16,5000,250,0.9295
4.32649214390616,traffic,100,80,0.4,0,0.01,16,5000,250,1
4.62305210209672,traffic,100,80,0.5,0,0.01,16,5000,250,0.7692
4.66466026878432,traffic,100,80,0.6,0,0.01,16,5000,250,0.2564
4.67241244722644,traffic,100,80,0.7,0,0.01,16,5000,250,0.0769
4.6433632622671,traffic,100,80,0.8,0,0.01,16,5000,250,0
4.59453212851867,traffic,100,80,0.9,0,0.01,16,5000,250,0
3.95697195270864,traffic,110,30,0.1,0,0.01,16,5000,250,0
4.14634466498794,traffic,110,30,0.2,0,0.01,16,5000,250,0.2564
4.33791498036276,traffic,110,30,0.3,0,0.01,16,5000,250,0.9295
4.52264488193213,traffic,110,30,0.4,0,0.01,16,5000,250,1
4.7968946080457,traffic,110,30,0.5,0,0.01,16,5000,250,0.7692
4.84606625130805,traffic,110,30,0.6,0,0.01,16,5000,250,0.2564
4.83654211048453,traffic,110,30,0.7,0,0.01,16,5000,250,0.0769
4.79220657276813,traffic,110,30,0.8,0,0.01,16,5000,250,0
4.73115761191779,traffic,110,30,0.9,0,0.01,16,5000,250,0
3.81974678796789,traffic,110,60,0.1,0,0.01,16,5000,250,0
4.00952743990571,traffic,110,60,0.2,0,0.01,16,5000,250,0.2564
4.20181780492693,traffic,110,60,0.3,0,0.01,16,5000,250,0.9295
4.38772795804153,traffic,110,60,0.4,0,0.01,16,5000,250,1
4.6672388256366,traffic,110,60,0.5,0,0.01,16,5000,250,0.7692
4.72140046602203,traffic,110,60,0.6,0,0.01,16,5000,250,0.2564
4.71740891796965,traffic,110,60,0.7,0,0.01,16,5000,250,0.0769
4.67803667364477,traffic,110,60,0.8,0,0.01,16,5000,250,0
4.62117103920389,traffic,110,60,0.9,0,0.01,16,5000,250,0
3.87398600443075,traffic,110,80,0.1,0,0.01,16,5000,250,0
4.06460783611072,traffic,110,80,0.2,0,0.01,16,5000,250,0.2564
4.25759797761731,traffic,110,80,0.3,0,0.01,16,5000,250,0.9295
4.44390641277282,traffic,110,80,0.4,0,0.01,16,5000,250,1
4.72177178600318,traffic,110,80,0.5,0,0.01,16,5000,250,0.7692
4.77310221964211,traffic,110,80,0.6,0,0.01,16,5000,250,0.2564
4.76576030428813,traffic,110,80,0.7,0,0.01,16,5000,250,0.0769
4.72339264425382,traffic,110,80,0.8,0,0.01,16,5000,250,0
4.66400132541378,traffic,110,80,0.9,0,0.01,16,5000,250,0
4.02774001183921,traffic,120,30,0.1,0,0.01,16,5000,250,0
4.22379357630225,traffic,120,30,0.2,0,0.01,16,5000,250,0.2564
4.42219331623066,traffic,120,30,0.3,0,0.01,16,5000,250,0.9295
4.61296152141886,traffic,120,30,0.4,0,0.01,16,5000,250,1
4.8872100347015,traffic,120,30,0.5,0,0.01,16,5000,250,0.7692
4.92616195299124,traffic,120,30,0.6,0,0.01,16,5000,250,0.2564
4.90489603815989,traffic,120,30,0.7,0,0.01,16,5000,250,0.0769
4.8508203267128,traffic,120,30,0.8,0,0.01,16,5000,250,0
4.78222801511676,traffic,120,30,0.9,0,0.01,16,5000,250,0
3.88821020363405,traffic,120,60,0.1,0,0.01,16,5000,250,0
4.08461513044463,traffic,120,60,0.2,0,0.01,16,5000,250,0.2564
4.28367302383388,traffic,120,60,0.3,0,0.01,16,5000,250,0.9295
4.47560519510974,traffic,120,60,0.4,0,0.01,16,5000,250,1
4.75564672103084,traffic,120,60,0.5,0,0.01,16,5000,250,0.7692
4.80023658661379,traffic,120,60,0.6,0,0.01,16,5000,250,0.2564
4.78487724795916,traffic,120,60,0.7,0,0.01,16,5000,250,0.0769
4.73591234825052,traffic,120,60,0.8,0,0.01,16,5000,250,0
4.67156882359387,traffic,120,60,0.9,0,0.01,16,5000,250,0
3.94413479336441,traffic,120,80,0.1,0,0.01,16,5000,250,0
4.14152830748087,traffic,120,80,0.2,0,0.01,16,5000,250,0.2564
4.34144290889329,traffic,120,80,0.3,0,0.01,16,5000,250,0.9295
4.53389484560585,traffic,120,80,0.4,0,0.01,16,5000,250,1
4.8119674277351,traffic,120,80,0.5,0,0.01,16,5000,250,0.7692
4.85315691959853,traffic,120,80,0.6,0,0.01,16,5000,250,0.2564
4.83407539175441,traffic,120,80,0.7,0,0.01,16,5000,250,0.0769
4.78191009809315,traffic,120,80,0.8,0,0.01,16,5000,250,0
4.71495452295411,traffic,120,80,0.9,0,0.01,16,5000,250,0
4.08309640165342,traffic,130,30,0.1,0,0.01,16,5000,250,0
4.28429522728009,traffic,130,30,0.2,0,0.01,16,5000,250,0.2564
4.4879746579772,traffic,130,30,0.3,0,0.01,16,5000,250,0.9295
4.68323591690117,traffic,130,30,0.4,0,0.01,16,5000,250,1
4.95642228373752,traffic,130,30,0.5,0,0.01,16,5000,250,0.7692
4.98675648567375,traffic,130,30,0.6,0,0.01,16,5000,250,0.2564
4.95638575102572,traffic,130,30,0.7,0,0.01,16,5000,250,0.0769
4.89502730747297,traffic,130,30,0.8,0,0.01,16,5000,250,0
4.82083945989672,traffic,130,30,0.9,0,0.01,16,5000,250,0
3.94188374486453,traffic,130,60,0.1,0,0.01,16,5000,250,0
4.14340380261975,traffic,130,60,0.2,0,0.01,16,5000,250,0.2564
4.34766682899963,traffic,130,60,0.3,0,0.01,16,5000,250,0.9295
4.54415307790691,traffic,130,60,0.4,0,0.01,16,5000,250,1
4.82358132533919,traffic,130,60,0.5,0,0.01,16,5000,250,0.7692
4.86005339457679,traffic,130,60,0.6,0,0.01,16,5000,250,0.2564
4.83581586752314,traffic,130,60,0.7,0,0.01,16,5000,250,0.0769
4.77963608204618,traffic,130,60,0.8,0,0.01,16,5000,250,0
4.70972214845864,traffic,130,60,0.9,0,0.01,16,5000,250,0
3.99910984056179,traffic,130,80,0.1,0,0.01,16,5000,250,0
4.2017304428755,traffic,130,80,0.2,0,0.01,16,5000,250,0.2564
4.40696800834727,traffic,130,80,0.3,0,0.01,16,5000,250,0.9295
4.60405902820764,traffic,130,80,0.4,0,0.01,16,5000,250,1
4.88118665639313,traffic,130,80,0.5,0,0.01,16,5000,250,0.7692
4.91380921411326,traffic,130,80,0.6,0,0.01,16,5000,250,0.2564
4.88558658671527,traffic,130,80,0.7,0,0.01,16,5000,250,0.0769
4.82608576645525,traffic,130,80,0.8,0,0.01,16,5000,250,0
4.75349221087346,traffic,130,80,0.9,0,0.01,16,5000,250,0
4.19673130599311,wind_imposed,100,30,0.1,0.1,0.01,16,5000,250,0
4.30020296199873,wind_imposed,110,30,0.1,0.1,0.01,16,5000,250,0
4.37934347519245,wind_imposed,120,30,0.1,0.1,0.01,16,5000,250,0
4.4410903107565,wind_imposed,130,30,0.1,0.1,0.01,16,5000,250,0
4.06570127171083,wind_imposed,100,60,0.1,0.1,0.01,16,5000,250,0
4.16587891838979,wind_imposed,110,60,0.1,0.1,0.01,16,5000,250,0
4.24271214174773,wind_imposed,120,60,0.1,0.1,0.01,16,5000,250,0
4.30270815654165,wind_imposed,130,60,0.1,0.1,0.01,16,5000,250,0
4.11779412560243,wind_imposed,100,80,0.1,0.1,0.01,16,5000,250,0
4.22039380469106,wind_imposed,110,80,0.1,0.1,0.01,16,5000,250,0
4.2990569031172,wind_imposed,120,80,0.1,0.1,0.01,16,5000,250,0
